[Gen:051/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.9, max=45) | BestSensors=23 (corner=8)
[Profile Gen 051] fitness=1.780s | selection=0.000s | repro=1.106s (crossover=0.208s, mutation=0.897s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.152s | prefix=0.100s | score=0.009s | pop=100 

[Gen:052/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=39.6, max=45) | BestSensors=23 (corner=8)
[Profile Gen 052] fitness=1.755s | selection=0.000s | repro=0.991s (crossover=0.202s, mutation=0.789s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.146s | prefix=0.096s | score=0.009s | pop=100 

[Gen:053/100] Fitness(norm) : (best=100.0000, avg=2.8048, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=39.8, max=45) | BestSensors=24 (corner=8)
[Profile Gen 053] fitness=1.741s | selection=0.000s | repro=0.976s (crossover=0.197s, mutation=0.778s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.112s | prefix=0.103s | score=0.009s | pop=100 

[Gen:054/100] Fitness(norm) : (best=100.0000, avg=2.8250, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=39.8, max=44) | BestSensors=24 (corner=8)
[Profile Gen 054] fitness=1.735s | selection=0.000s | repro=1.137s (crossover=0.208s, mutation=0.928s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.112s | prefix=0.105s | score=0.009s | pop=100 

[Gen:055/100] Fitness(norm) : (best=100.0000, avg=3.7650, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=39.7, max=44) | BestSensors=24 (corner=8)
[Profile Gen 055] fitness=1.732s | selection=0.000s | repro=1.074s (crossover=0.221s, mutation=0.852s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.112s | prefix=0.105s | score=0.009s | pop=100 

[Gen:056/100] Fitness(norm) : (best=100.0000, avg=1.9167, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=39.1, max=42) | BestSensors=24 (corner=8)
[Profile Gen 056] fitness=1.709s | selection=0.000s | repro=1.131s (crossover=0.230s, mutation=0.901s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.112s | prefix=0.104s | score=0.009s | pop=100 

[Gen:057/100] Fitness(norm) : (best=100.0000, avg=1.9167, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=39.2, max=42) | BestSensors=24 (corner=8)
[Profile Gen 057] fitness=1.713s | selection=0.000s | repro=0.991s (crossover=0.220s, mutation=0.771s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.112s | prefix=0.105s | score=0.009s | pop=100 

[Gen:058/100] Fitness(norm) : (best=100.0000, avg=2.8176, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=38.7, max=41) | BestSensors=24 (corner=8)
[Profile Gen 058] fitness=1.582s | selection=0.000s | repro=1.172s (crossover=0.212s, mutation=0.959s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.117s | prefix=0.109s | score=0.010s | pop=100 

[Gen:059/100] Fitness(norm) : (best=100.0000, avg=1.9118, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=38.7, max=41) | BestSensors=24 (corner=8)
[Profile Gen 059] fitness=1.608s | selection=0.000s | repro=0.960s (crossover=0.198s, mutation=0.761s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.117s | prefix=0.109s | score=0.010s | pop=100 

[Gen:060/100] Fitness(norm) : (best=100.0000, avg=1.9118, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=38.6, max=41) | BestSensors=24 (corner=8)
[Profile Gen 060] fitness=1.688s | selection=0.000s | repro=0.980s (crossover=0.231s, mutation=0.748s) | calls: crossover~100, mutation~70.0
